Crash ID,State,Month,Dayweek,Time,Crash Type,Bus Involvement,Heavy Rigid Truck Involvement,Articulated Truck Involvement,Speed Limit,Road User,Gender,Age,National Remoteness Areas,SA4 Name 2016,National LGA Name 2017,National Road Type,Christmas Period,Easter Period,Age Group,Day of week,Time of day
20213174,Queensland,6,Monday,6:00,Multiple,No,No,Yes,100,Driver,Male,18,Inner Regional Australia,Darling Downs - Maranoa,Toowoomba (R),National or State Highway,No,No,17_to_25,Weekday,Day
20213084,Queensland,6,Wednesday,6:00,Single,No,No,No,50,Driver,Male,13,Outer Regional Australia,Mackay - Isaac - Whitsunday,Whitsunday (R),Local Road,No,No,0_to_16,Weekday,Day
20212080,Victoria,6,Monday,13:00,Single,No,No,No,50,Passenger,Male,65,Inner Regional Australia,Shepparton,Campaspe (S),Local Road,No,No,65_to_74,Weekday,Day
20216010,Tasmania,6,Thursday,15:38,Single,No,No,No,100,Driver,Male,66,Outer Regional Australia,Launceston and North East,Break O'Day (M),Arterial Road,No,No,65_to_74,Weekday,Day
20212141,Victoria,6,Wednesday,16:19,Multiple,No,No,No,100,Driver,Male,67,Inner Regional Australia,Hume,Mitchell (S),Sub-arterial Road,No,No,65_to_74,Weekday,Day
20211003,New South Wales,6,Wednesday,13:28,Multiple,No,Yes,No,100,Driver,Female,69,Inner Regional Australia,Central West,Lithgow,National or State Highway,No,No,65_to_74,Weekday,Day
20211026,New South Wales,6,Friday,13:55,Multiple,No,No,No,50,Pedestrian,Male,73,Major Cities of Australia,Sydney - City and Inner South,Sydney,Local Road,No,No,65_to_74,Weekday,Day
20212054,Victoria,6,Wednesday,15:37,Multiple,No,No,No,60,Pedal cyclist,Male,72,Major Cities of Australia,Melbourne - Inner South,Bayside (C),Arterial Road,No,No,65_to_74,Weekday,Day
20212134,Victoria,6,Monday,10:45,Multiple,No,Yes,Yes,100,Driver,Male,66,Inner Regional Australia,Latrobe - Gippsland,Latrobe (C) (Vic.),Arterial Road,No,No,65_to_74,Weekday,Day
20213072,Queensland,6,Thursday,18:00,Multiple,No,No,No,80,Driver,Male,51,Inner Regional Australia,Wide Bay,Gympie (R),Undetermined,No,No,40_to_64,Weekday,Night
20212041,Victoria,6,Friday,5:58,Multiple,No,No,No,80,Passenger,Male,56,Major Cities of Australia,Mornington Peninsula,Mornington Peninsula (S),Sub-arterial Road,No,No,40_to_64,Weekday,Night
